CellLine_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4
ACH-000657,0.091457372,0.363908037,4.964956299,0.226758166,-0.034843018,3.476299654
ACH-000071,0.297386678,0.424998092,4.563411466,0.317104667,2.629609754,2.989574401
ACH-000687,0.216234814,-0.043715148,4.60590787,0.472731641,0.035244767,2.594230152
ACH-000587,-0.003033238,3.327494489,4.159678107,0.759507015,4.016324854,3.195490644
ACH-001207,0.635796443,0.957599557,6.716384824,0.216332961,2.575735573,3.912497615
ACH-000588,0.078343864,1.623838672,5.976443559,0.489906646,-0.046875819,2.91212122
ACH-000378,1.25977834,2.58909215,5.85298594,6.072828913,6.801184809,2.733486878
ACH-000261,0.58172859,0.424998092,4.235450025,0.472731641,2.900790208,3.616691128
ACH-000768,0.051741565,3.560723241,4.787132158,0.709753688,4.656886422,3.495817614
ACH-000069,0.179958009,-0.002594655,4.696349635,0.556485915,0.367963725,3.145516678
ACH-000333,5.134034685,0.611343668,4.997733336,1.759397252,6.328914227,0.809707164
ACH-000384,1.419866967,4.21471251,6.140847314,1.18611784,5.847547734,3.484870908
ACH-000224,0.091457372,0.101515923,5.312091125,0.673049144,3.906219148,3.401982513
ACH-000575,-0.003033238,3.050761846,4.432721027,0.336380281,4.529577681,3.07610509
ACH-001106,0.893366064,-0.057693869,4.60219202,0.205825989,0.012272676,2.003802137
ACH-000840,0.770510772,6.781973506,4.804814061,1.932894306,5.259833189,4.308800409
ACH-000003,5.465710702,4.699245531,3.600312208,5.286705784,3.813944846,4.422264408
ACH-000278,0.130074905,0.798935232,5.31535255,0.152018273,4.410608458,2.01387545
ACH-000272,5.167503968,-0.043715148,4.148109785,2.730284255,5.113877058,4.767717235
ACH-000398,0.155239161,-0.057693869,5.472396608,0.472731641,-0.108653984,-0.07716044
ACH-000025,1.172281353,1.337675782,4.149560859,0.489906646,1.653902628,3.92338532
ACH-000453,0.308604236,0.0241652,4.183251541,0.205825989,0.012272676,0.817325697
ACH-000638,0.117320675,3.430883613,4.839998331,0.489906646,6.233995333,3.259566421
ACH-000046,3.377200716,0.894841484,5.881314703,0.297547648,5.6734478,4.561783723
ACH-000640,2.520092528,1.749609034,4.250413421,4.646191019,2.559157485,2.172267905
ACH-000228,0.456865277,0.620042457,4.907915953,0.247368297,3.260169473,2.079309991
ACH-000464,0.263183048,0.444785037,4.491811505,0.152018273,3.873500199,3.796933416
ACH-000114,0.179958009,0.511923746,5.669602039,0.695192327,6.681570873,2.245450031
ACH-000154,0.618005395,1.388766863,6.328599982,0.226758166,3.8101836,4.44140258
ACH-000117,0.405702836,0.58491938,4.479721163,1.855125971,7.26723024,2.683603533
ACH-000823,0.078343864,1.240751154,5.478525924,1.64193161,2.59573275,3.58739857
ACH-000757,0.216234814,1.481000837,3.668470589,0.037450028,0.046589971,3.329119425
ACH-000941,0.985794288,-0.016168189,4.647199728,0.107359736,5.732300608,4.74730493
ACH-000484,5.381113225,0.744446688,4.816330942,5.517372184,7.811720261,2.653697303
ACH-000271,0.14271371,0.0241652,4.871263005,0.464060853,0.512597225,3.204395732
ACH-000655,0.14271371,0.101515923,4.820454832,0.317104667,0.091066723,2.723234231
ACH-000139,0.456865277,0.752361356,3.700403436,0.680470947,3.884968278,3.653042732
ACH-000508,0.204246942,0.0241652,4.389699258,0.498412275,0.479895014,1.346785107
ACH-000111,0.88599624,0.210099123,6.509321413,0.12987509,1.861521339,0.017874265
ACH-000291,0.535015927,0.930052598,5.059214098,4.950783745,1.499950591,3.282186188
ACH-000118,2.549590814,1.576358427,4.589915637,0.572626255,4.672364787,3.723136573
ACH-000233,0.204246942,0.174829073,3.957609544,1.612728665,0.165632183,2.231104333
ACH-000151,1.236976553,0.858725101,4.045883547,1.274477248,-0.134155247,1.742514422
ACH-000618,0.525482931,2.530230247,5.801636912,0.83413873,4.914499372,2.996415894
ACH-000380,0.038247949,1.093973743,4.671728592,-0.036309814,-0.096076704,-0.105490373
ACH-000443,0.330772613,0.15081396,5.587095384,0.437706586,3.949815519,2.268113721
ACH-000501,0.544484291,0.278088999,3.65936191,0.184561542,2.809452476,4.383877446
ACH-000674,1.816586626,0.628687714,4.5162592,3.97116993,7.357757838,4.055518565
ACH-000496,1.617026969,4.375623278,5.908019042,5.04141573,5.989272505,3.211775341
ACH-000811,0.239906201,1.223926403,5.977064255,1.150117884,4.530923714,3.834880792
ACH-000849,1.225434516,0.088916288,3.650195923,0.917292945,4.542535053,2.954877267
ACH-000179,0.535015927,-0.002594655,3.905392147,0.680470947,0.255974587,1.797874016
ACH-000141,0.167653274,1.882799753,6.46205298,2.15220718,6.515861051,3.385085848
ACH-000212,0.024622685,1.8251568,4.239546217,0.766466159,2.012228332,2.913927964
ACH-000894,0.038247949,3.286511458,3.939294267,1.191182618,5.345024556,2.204921155
ACH-000918,2.619653326,-0.002594655,5.51277989,0.489906646,0.046589971,3.213246794
